CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Count,CWE,Line Number,MISRA Category,Standard: AUTOSAR C++14,Standard: CERT C,Standard: CERT C++,Standard: DISA-STIG V4R10,Standard: DISA-STIG V4R10 Severity,Standard: DISA-STIG V4R3,Standard: DISA-STIG V4R3 Severity,Standard: ISO TS17961 2016,Standard: OWASP Mobile Top Ten 2016,Standard: OWASP Web Top Ten 2017,Standard: PCI DSS 2018
227789,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/sign_conv.c,sign_conv_012,2,676,165,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227788,Operands don't affect result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_003,1,569,45,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227787,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/st_underrun.c,st_underrun_004_func_001,2,457,131,None,None,None,None,APSC-DV-003215,CAT III, None,None,None,None,None,None
227786,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/conflicting_cond.c,conflicting_cond_007,2,676,136,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227785,Infinite loop,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/improper_termination_of_block.c,improper_termination_of_block_004,1,835,67,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227784,Write to pointer after free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_011,1,416,320,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227783,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_003,1,,45,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227782,Out-of-bounds read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/overrun_st.c,overrun_st_003,1,125,44,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227781,Explicit null dereferenced,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/null_pointer.c,null_pointer_004,1,476,63,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227780,Operands don't affect result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_006,1,569,81,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227779,Double unlock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/01.w_Defects/unlock_without_lock.c,unlock_without_lock_006_tsk_001,1,765,373,None,None,None,None,None,None,None,None,None,None,None,None
227778,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_027,1,119,359,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227777,Pointer to local outside scope,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/02.wo_Defects/memory_allocation_failure.c,memory_allocation_failure_012_func_002,8,562,434,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227776,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/01.w_Defects/double_free.c,double_free_004,1,404,88,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227775,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_009,1,561,177,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227774,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/01.w_Defects/dead_code.c,dead_code_005,1,561,99,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227773,Constant expression result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_010,1,569,199,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227772,Constant expression result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_005,1,569,103,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227771,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_034,1,119,457,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227770,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_011,1,,146,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227769,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_019,1,119,349,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227768,'Constant' variable guards dead code,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Possible Control flow issues,/01.w_Defects/endless_loop.c,endless_loop_008,1,561,152,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227767,Read from pointer after free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_001,1,416,45,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227766,Dereference after null check,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/02.wo_Defects/memory_allocation_failure.c,memory_allocation_failure_003,2,476,81,None,None,None,None, APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227765,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/st_overflow.c,st_overflow_004,2,457,124,None,None,None,None,APSC-DV-003215,CAT III,None,None, None,None,None,None
227764,Infinite loop,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_008,2,835,127,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227763,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/uninit_pointer.c,uninit_pointer_007,2,404,124,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227762,Big parameter passed by value,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/02.wo_Defects/st_overflow.c,st_overflow_005_func_001,2,398,139,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227761,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/01.w_Defects/memory_leak.c,memory_leak_0015,1,404,404,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227760,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/st_cross_thread_access.c,st_cross_thread_access_005_tsk_001,2,366,391,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227759,Missing return statement,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/01.w_Defects/not_return.c,not_return_002_func_001,1,710,50,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227758,Argument cannot be negative,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_012_func_002,1,687,422,None,None,None,None,APSC-DV-002590,CAT I,None,None,None,None,None,None
227757,Free of array-typed value,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/free_nondynamic_allocated_memory.c,free_nondynamic_allocated_memory_008,1,590,128,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-003320,CAT II,None,None,None,6.5.6
227756,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_025,1,119,461,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227755,'Constant' variable guards dead code,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Possible Control flow issues,/01.w_Defects/dead_code.c,dead_code_013,1,561,248,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227754,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_006,1,119,77,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227753,Negative array index write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/underrun_st.c,underrun_st_003,1,129,42,None,None,None,None,APSC-DV-002560,CAT I,None,None,None,None,None,6.5.6
227752,Data race condition,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/st_cross_thread_access.c,st_cross_thread_access_002_tsk_002,2,366,152,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227751,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/st_cross_thread_access.c,st_cross_thread_access_005_tsk_002,2,366,413,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227750,Function address comparison,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/01.w_Defects/cmp_funcadr.c,cmp_funcadr_002,1,628,48,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227749,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/double_release.c,double_release_006,1,676,281,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227748,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/free_nondynamic_allocated_memory.c,free_nondynamic_allocated_memory_007,1,415,115,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227747,Double unlock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/01.w_Defects/double_release.c,double_release_001_tsk_001,1,765,35,None,None,None,None,None,None,None,None,None,None,None,None
227746,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/overrun_st.c,overrun_st_033,2,676,442,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227745,Out-of-bounds read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_018,1,125,332,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
