File,LineStart,LineEnd,Error
memory_leak.c,526,526,"Remove the use of this insecure ""strcpy"" function."
memory_leak.c,528,528,Change this loop body so that it can be executed more than once.
null_pointer.c,259,259,"Remove the use of this insecure ""strcpy"" function."
null_pointer.c,259,259,Null pointer passed as an argument to a 'nonnull' parameter
null_pointer.c,303,303,code will never be executed
null_pointer.c,336,336,Change this loop body so that it can be executed more than once.
null_pointer.c,354,354,"Remove the use of this insecure ""strcpy"" function."
null_pointer.c,356,356,Change this loop body so that it can be executed more than once.
ow_memcpy.c,42,42,Assigned value is garbage or undefined
ptr_subtraction.c,23,23,Subtraction operator should not be used with pointers to different arrays.
race_condition.c,90,90,Change this loop body so that it can be executed more than once.
race_condition.c,108,108,Change this loop body so that it can be executed more than once.
st_cross_thread_access.c,56,56,Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_001_glb_ptr' upon returning to the caller.  This will be a dangling reference
st_cross_thread_access.c,144,144,Address of stack memory associated with local variable 'arr' is still referred to by the global variable 'st_cross_thread_access_002_glb_ptr' upon returning to the caller.  This will be a dangling reference
st_cross_thread_access.c,233,233,Address of stack memory associated with local variable 'fptr' is still referred to by the global variable 'st_cross_thread_access_003_glb_ptr' upon returning to the caller.  This will be a dangling reference
st_cross_thread_access.c,400,400,Address of stack memory associated with local variable 'arr1' is still referred to by the global variable 'p' upon returning to the caller.  This will be a dangling reference
st_underrun.c,24,24,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,62,62,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,81,81,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,116,116,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,171,171,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,213,213,"Remove the use of this insecure ""strcpy"" function."
st_underrun.c,213,213,String copy function overflows destination buffer
uninit_memory_access.c,55,55,"Remove the use of this insecure ""strcpy"" function."
uninit_memory_access.c,76,76,Dereference of null pointer
uninit_pointer.c,132,132,Potential leak of memory pointed to by 'buf1'
uninit_pointer.c,132,132,Potential leak of memory pointed to by 'buf2'
uninit_pointer.c,132,132,Potential leak of memory pointed to by 'buf3'
uninit_pointer.c,132,132,Potential leak of memory pointed to by 'buf4'
uninit_pointer.c,132,132,Potential leak of memory pointed to by 'buf5'
uninit_pointer.c,197,197,"Remove the use of this insecure ""strcpy"" function."
uninit_pointer.c,231,231,Change this loop body so that it can be executed more than once.
uninit_pointer.c,239,239,Change this loop body so that it can be executed more than once.
uninit_pointer.c,400,400,"Remove the use of this insecure ""strcpy"" function."
uninit_pointer.c,423,423,"Remove the use of this insecure ""strcpy"" function."
uninit_pointer.c,432,432,Potential leak of memory pointed to by 's'
uninit_var.c,152,152,"Remove the use of this insecure ""strcpy"" function."
unlock_without_lock.c,388,388,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,208,208,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,209,209,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,218,218,Potential leak of memory pointed to by 'str1'
wrong_arguments_func_pointer.c,220,220,Potential leak of memory pointed to by 'str2'
wrong_arguments_func_pointer.c,381,381,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,435,435,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,449,449,Change this loop body so that it can be executed more than once.
wrong_arguments_func_pointer.c,474,474,"Remove the use of this insecure ""strcpy"" function."
wrong_arguments_func_pointer.c,519,519,code will never be executed
wrong_arguments_func_pointer.c,596,596,Potential leak of memory pointed to by 'st1'
